Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D001375,0001,,"LAND ON THE EAST AND WEST SIDES OF THE A1, THINFORD, SPENNYMOOR",Freehold Acquisition,,10-Feb-17,0
ED00881,0016,,TUDHOE SCHOOL,Freehold Acquisition,,27-Feb-17,1
D001368,0001,,LAND AND GARAGE EAST OF VICTORIA TERRACE CHILTON COUNTY DURHAM,Freehold Acquisition,,07-Mar-17,1500
PL00491,0126,,SUBSOIL INTEREST NETPARK SEDGEFIELD STOCKTON-ON TEES COUNTY DURHAM,Freehold Acquisition,,31-Mar-17,100850
PL00517,0006,,"1 PARSON ROAD, NORTH EAST INDUSTRIAL ESTATE, PETERLEE ",Freehold Acquisition,,31-Mar-17,60000
D001368,0002,,"GARAGE SITE 2 VICTORIA TERRACE, CHILTON",Freehold Acquisition,,27-Jun-17,1000
D001356,0004,,SADDLER HOUSE SADDLER STREET BISHOP AUCKLAND COUNTY DURHAM,Freehold Acquisition,,25-Jul-17,360000
D001473,0001,,"LAND AT BIRCH VIEW PLAY PARK, CHESTER LE STREET",Freehold Acquisition,,18-Dec-17,1
HB12914,0001,,"Land and buildings on the north east side of the River Deerness, Ushaw Moor",Freehold Acquisition,,26-Jan-18,5000
D201611,0007,,Mines and Minerals and Freehold Title to Land at Dipton County Durham,Freehold Acquisition,,09-Mar-18,25000
PL00491,0370,,"SUBSOIL INTEREST (MINES AND MINERALS), LIZARDS FARMLAND SEDGEFIELD COUNTY DURHAM",Freehold Acquisition,,29-Mar-18,130000
PL00517,0008,,"8 & 9 ARMSTRONG ROAD, NORTH EAST INDUSTRIAL ESTATE, PETERLEE",Freehold Acquisition,,10-Apr-18,72000
D001534,0001,,"LAND ADJACENT TO 27 THE CLOSE EAST, SOUTH PELAW",Freehold Acquisition,,18-Apr-18,1
D001368,0004,,"ACQUISITION OF GARAGE SITE NO 4, TO THE REAR OF VICTORIA TERRACE, CHILTON",Freehold Acquisition,,25-Apr-18,1000
D001368,0006,,"ACQUISITION OF GARAGE NO 5, REAR OF VICTORIA TERRACE, CHILTON",Freehold Acquisition,,12-Jul-18,1000
D200292,0005,,MINES AND MINERALS REGISTRATION LAND AT FORMER SWIMMING BATHS CONSETT,Freehold Acquisition,,10-Jan-19,10000
ED00561,0018,,"LAND AT OAKERSIDE DRIVE, PETERLEE",Freehold Acquisition,,29-Jan-19,36000
D001712,0001,,LAND EAST SIDE OF DRAGON LAND DAMSON WAY,Freehold Acquisition,,26-Feb-19,15000
PL00517,0010,,"UNITS 3,4 AND 4B PARSONS ROAD NORTH EAST INDUSTRIAL ESTATE PETERLEE ",Freehold Acquisition,,08-May-19,120000
OP00001,0001,,"LAND AT FINCHALE VIEW, WEST RAINTON, DURHAM",Freehold Acquisition,,12-Jun-19,0
OP00002,0001,,"LAND AT GEORGE STREET, SHERBURN VILLAGE, DURHAM",Freehold Acquisition,,12-Jun-19,0
OP00003,0001,,"LAND AT PENNINE VIEW, SHERBURN HILL, DURHAM",Freehold Acquisition,,12-Jun-19,0
OP00004,0001,,"LAND AT BYLAND LODGE, HAWTHORN TERRACE, DURHAM",Freehold Acquisition,,12-Jun-19,0
OP00005,0001,,"LAND AT AYDEN GROVE, NEWTON HALL",Freehold Acquisition,,12-Jun-19,0
OP00006,0001,,"LAND AT CAVELL DRIVE, BOWBURN",Freehold Acquisition,,12-Jun-19,0
OP00007,0001,,"LAND AT WILSON CLOSE, CASSOP",Freehold Acquisition,,12-Jun-19,0
